contraindications,dosage,id,labels,local_names,medicinal_uses,philosophy_embodied,preparation,regions,related_healing_practice,scientific_name,spiritual_use
Internal fruit consumption toxic (except prepared),Topical use|decoction external only,1004,Plant:SoulLayer,Sausage tree|Umvungutane (Zulu)|Mwegea (Swahili),Skin cancer|wounds|snake bites|breast firming|anti-aging,Powerful medicine|transformative healing,Fruit extract|bark decoction|topical application,Pan-African,Wound healing|skin therapy|spiritual protection,Kigelia africana,Sacred tree|spiritual protection
Pregnancy|liver disease|surgery interactions,50-100mg extract 2x daily,1005,Plant:SoulLayer,African cherry|Red stinkwood|Muiri (Kikuyu),Prostate health|urinary problems|fever|kidney disease,Ma'at (male health balance)|elder medicine,Bark decoction|extract|capsules,Central Africa East Africa,Herbalism|elder care,Prunus africana,Spiritual strength|masculine blessing
Pregnancy|excess doses,1 cup tea 2-3x daily,1006,Plant:SoulLayer,Leadwood|Hardekool|Umbondwe (Zulu),Dysentery|diarrhea|abdominal pain|respiratory infections,Ancient wisdom (tree longevity)|enduring healing,Bark/root decoction|leaf tea,Southern Africa,Herbalism|digestive therapy,Combretum imberbe,Sacred tree|spiritual grounding
Pregnancy|peptic ulcers|gallstones|heart meds,1.5-3g daily in divided doses,1007,Plant:SoulLayer,Devil's Claw (primary species)|Duiwelsklou,Arthritis|rheumatism|digestive bitters|fever,San healing tradition|pain medicine,Root tea|capsules|tincture,Southern Africa Namibia,Bone-setting|herbalism|pain management,Harpagophytum procumbens,Healing blessing|pain relief prayer
Pregnancy|iron overload|liver disease,300-600mg capsules 3x daily|tea,1008,Plant:SoulLayer,African potato|Ilabatheka (Zulu)|Inongwe (Xhosa),Immune boost|HIV support|TB|prostate|urinary health,Ubuntu (community immune support)|vital force,Corm powder|tea|capsules,Southern Africa,Herbalism|immune therapy,Hypoxis hemerocallidea,Strength blessing|spiritual fortification
Pregnancy|kidney/liver disease,1-2g dried leaf 3x daily|tincture per label,1009,Plant:SoulLayer,Buchu (primary species)|Boegoe,UTI|kidney inflammation|rheumatism|digestive aid,Khoisan purification medicine,Leaf tea|tincture|oil,South Africa Western Cape,Ritual washing|herbalism,Agathosma betulina,Spiritual cleansing|purification
Pregnancy|SSRI interaction|heart conditions,50-200mg|traditional chewing method,1010,Plant:SoulLayer,Kanna|Channa|Kougoed,Mood elevation|anxiety|stress|appetite suppression,San mood medicine|spiritual uplift,Chewing|tea|tincture|powder,South Africa,Herbalism|spiritual healing|mental health,Sceletium tortuosum,Spiritual clarity|ceremonial use
Pregnancy|psychosis|schizophrenia|heart disease|young people,Varies widely|microdosing recommended,1011,Plant:SoulLayer,Dagga (South Africa)|Bangi (Swahili)|Indian hemp,Pain|nausea|appetite|glaucoma|muscle spasms,Controversial (criminalized)|traditional medicine vs modern laws,Smoking|tea|oil|topical,Pan-African,Herbalism|pain management|spiritual practices (restricted),Cannabis sativa,Spiritual visions|ceremonial (some traditions)|divination enhancement
Direct plant toxic|pregnancy|liver disease,Only pharmaceutical preparations safe,1012,Plant:SoulLayer,Madagascar periwinkle|Vinca|Chemotherapy source,Diabetes|cancer (pharmaceutical use)|high blood pressure,Ma'at (powerful medicine requiring balance),Tea (caution)|pharmaceutical extracts only,Pan-African (originated Madagascar),Herbalism (historical)|modern pharmaceutical source,Catharanthus roseus,Sacred healing plant|pharmaceutical blessing
Pregnancy|low blood pressure|depression|ulcers,Small amounts (very powerful alkaloids),1013,Plant:SoulLayer,Swizzle stick|African snake root,High blood pressure|mental disorders|snake bites,Powerful medicine requiring expertise,Root decoction|bark preparation,West Africa Central Africa,Herbalism|mental health treatment,Rauvolfia vomitoria,Spiritual protection|mental clarity
Cardiac issues|pregnancy|powerful alkaloids,Traditional small amounts only|pharmaceutical extraction,1014,Plant:SoulLayer,Voacanga,Fever|malaria|mental stimulation|ibogaine precursor,Powerful spiritual medicine|vision plant,Bark/seed preparation (caution)|traditional use limited,West Africa Central Africa,Spiritual healing|traditional herbalism (expert use),Voacanga africana,Spiritual visions|divination|initiation ceremonies
Cardiac disease|pregnancy|many medications|seizures|must screen,Ceremonial doses only (dangerous)|medical supervision required,1015,Plant:SoulLayer,Iboga,Addiction treatment|spiritual initiation|stimulant|fatigue,Bwiti spiritual tradition|powerful initiation medicine,Root bark preparation (ceremonial only)|pharmaceutical extracts,Central Africa (Gabon Cameroon Congo),Spiritual initiation|addiction therapy (clinical)|divination,Tabernanthe iboga,Central to Bwiti religion|spiritual rebirth|ancestral communion
None known (very safe),5-15g daily in water,1016,Plant:SoulLayer,Gum arabic|Kordofan gum,Digestive health|prebiotic|wound healing|kidney protection,Ma'at (gentle healing)|nutritive medicine,Gum dissolved in water|powder,Sahel region West Africa,Herbalism|nutrition|wound care,Acacia senegal,Blessing gum|spiritual offering
Low blood pressure caution|pregnancy high doses,1-2 cups daily (rich color),1017,Plant:SoulLayer,Roselle|Zobo (Hausa)|Karkaday|Bissap,High blood pressure|fever|liver health|kidney health,Ubuntu (communal drink)|cooling medicine,Flower tea (hot or cold)|infusion,West Africa North Africa,Herbalism|nutrition|hydrotherapy,Hibiscus sabdariffa,Celebratory drink|blessing beverage
Pregnancy|excessive doses (strong laxative),1 cup tea 1-2x daily|poultice topical,1018,Plant:SoulLayer,African laburnum|Mpandu (Swahili),Malaria|constipation|skin infections|worms,Powerful purgative medicine,Bark/root decoction|leaf poultice,West Africa Central Africa East Africa,Herbalism|colon cleansing|spiritual bathing,Cassia sieberiana,Cleansing ritual|spiritual purification
Highly toxic seeds|cardiac glycosides|pregnancy|self-use dangerous,Only pharmaceutical preparations,1019,Plant:SoulLayer,Climbing oleander|Poison rope,Heart conditions (pharmaceutical use)|arrow poison historically,Powerful medicine requiring great expertise|life-and-death plant,Pharmaceutical extraction only (seeds very toxic),West Africa Central Africa,Historical use (arrow poison)|modern pharmaceutical source|herbalism (expert only),Strophanthus gratus,Spiritual protection|powerful medicine blessing
Pregnancy|large doses,Small amounts (powerful)|tea 1/2 cup 2x daily,1020,Plant:SoulLayer,Violet tree|Mpesu (Swahili)|Mpulosankana (Zulu),Snakebite|malaria|cough|venereal diseases|aphrodisiac,Powerful protective medicine|snake medicine,Root decoction|bark tea|topical application,Pan-African,Herbalism|spiritual protection|ritual medicine,Securidaca longipedunculata,Spiritual protection|snake bite treatment|cleansing
Pregnancy|constipation,1 cup tea 2-3x daily|poultice topical,1021,Plant:SoulLayer,Velvet bush willow|Umdubu (Zulu)|Mlama (Swahili),Dysentery|diarrhea|stomach ailments|cough|wounds,Ma'at (digestive balance)|gentle healing,Leaf decoction|bark tea|topical leaf application,Southern Africa East Africa,Herbalism|digestive therapy|wound care,Combretum molle,Blessing medicine|spiritual wellness
None significant,1 cup tea 2x daily|poultice topical,1022,Plant:SoulLayer,Buffalo thorn|Blinkblaar wag-'n-bietjie|Umphafa (Zulu),Wounds|diarrhea|respiratory infections|chest pains,Sacred tree (ancestral connection)|protective medicine,Bark decoction|leaf tea|topical application,Southern Africa,Herbalism|wound healing|respiratory therapy,Ziziphus mucronata,Ancestral tree (funeral tradition)|spiritual protection|blessing
Pregnancy caution,1 cup tea 2x daily|topical application,1023,Plant:SoulLayer,Coastal golden leaf|Mufura (Shona)|Muvhombwe,Abdominal pains|diarrhea|wounds|gonorrhea,Protective medicine|cleansing,Bark/root decoction|leaf poultice,Southern Africa East Africa,Herbalism|wound care|digestive therapy,Bridelia micrantha,Spiritual cleansing|protective blessing
