binary_pattern,divination_use,id,interpretation,labels,name_english,name_yoruba,odu_number,related_themes,ritual_context,symbolic_meaning
11100001,,225,Occult networks - hidden connections,OduIfa,,,225,,Occult connections,
11100010,,226,Journey networks - quest connections,OduIfa,,,226,,Quest connections,
11100011,,227,War alliances - battle networks,OduIfa,,,227,,War alliances,
11100100,,228,Economic networks - material connections,OduIfa,,,228,,Economic connections,
11100101,,229,Chaotic networks - random connections,OduIfa,,,229,,Chaotic connections,
11100110,,230,Transformative networks - evolutionary connections,OduIfa,,,230,,Evolution connections,
11100111,,231,Lucky networks - fortunate connections,OduIfa,,,231,,Fortunate connections,
11101000,,232,Military alliances - combat networks,OduIfa,,,232,,Military alliances,
11101001,,233,Historical networks - temporal connections,OduIfa,,,233,,Temporal connections,
11101010,,234,Maximum networks - ultimate connections,OduIfa,,,234,,Ultimate connections,
11101011,,235,Current networks - flow connections,OduIfa,,,235,,Flow connections,
11101100,,236,Passionate networks - burning connections,OduIfa,,,236,,Burning connections,
11101101,,237,Stressed networks - burdened connections,OduIfa,,,237,,Stressed connections,
11101110,,238,Triumphant networks - victorious connections,OduIfa,,,238,,Victorious connections,
11101111,,239,Spiritual networks - mystical connections,OduIfa,,,239,,Mystical connections,
11110000,,240,Divine currents - sacred flows,OduIfa,,,240,,Sacred flows,
11110001,,241,Occult currents - hidden flows,OduIfa,,,241,,Occult flows,
11110010,,242,Journey currents - quest flows,OduIfa,,,242,,Quest flows,
11110011,,243,War currents - battle flows,OduIfa,,,243,,War flows,
11110100,,244,Economic currents - material flows,OduIfa,,,244,,Economic flows,
11110101,,245,Chaotic currents - random flows,OduIfa,,,245,,Chaotic flows,
11110110,,246,Transformative currents - evolutionary flows,OduIfa,,,246,,Evolution flows,
11110111,,247,Lucky currents - fortunate flows,OduIfa,,,247,,Fortunate flows,
11111000,,248,Military currents - combat flows,OduIfa,,,248,,Military flows,
11111001,,249,Historical currents - temporal flows,OduIfa,,,249,,Temporal flows,
11111010,,250,Network currents - connection flows,OduIfa,,,250,,Connection flows,
11111011,,251,Maximum currents - ultimate flows,OduIfa,,,251,,Ultimate flows,
11111100,,252,Passionate currents - burning flows,OduIfa,,,252,,Burning flows,
11111101,,253,Stressed currents - burdened flows,OduIfa,,,253,,Stressed flows,
11111110,,254,Triumphant currents - victorious flows,OduIfa,,,254,,Victorious flows,
11111111,,255,Ultimate ending - absolute completion,OduIfa,,,255,,Absolute completion,
00000000,Questions of origin and destiny,654,Foundation and pure beginnings - divine order manifesting,OduIfa:SoulLayer,Double Light,Eji Ogbe,0,"['creation', 'order', 'divinity']",New moon ceremonies,Purity and infinite potential
00000001,Life transitions and mortality,655,Transformation through duality - birth and death cycle,OduIfa:SoulLayer,Light Meets Darkness,Ogbe-Oyeku,1,"['duality', 'transformation', 'cycles']",Eclipse rituals,Change and necessary transition
00000010,Overcoming difficulties,656,Challenges revealing character - obstacles as teachers,OduIfa:SoulLayer,Light Tests Path,Ogbe-Iwori,2,"['testing', 'growth', 'character']",Initiation rites,Strength through adversity
00000011,Disputes and decisions,657,Struggle between opposing forces - choosing sides,OduIfa:SoulLayer,Light In Conflict,Ogbe-Odi,3,"['conflict', 'choice', 'balance']",Dispute resolution,Conflict and choice
00000100,Material success questions,658,Manifestation of divine will on earthly plane,OduIfa:SoulLayer,Light Awakens Earth,Ogbe-Irosun,4,"['manifestation', 'abundance', 'will']",Harvest festivals,Divine will made manifest
00000101,Unpredictable situations,659,Order confronting entropy - structure vs randomness,OduIfa:SoulLayer,Light Faces Chaos,Ogbe-Owonrin,5,"['chaos', 'uncertainty', 'adaptation']",Storm preparation,Chaos and uncertainty
00000110,Personal evolution,660,Metamorphosis and rebirth - shedding old forms,OduIfa:SoulLayer,Light Transforms,Ogbe-Obara,6,"['transformation', 'renewal', 'growth']",Coming-of-age ceremonies,Transformation and renewal
00000111,Wealth and success inquiries,661,Abundance through right action - karmic rewards,OduIfa:SoulLayer,Light Brings Fortune,Ogbe-Okonron,7,"['prosperity', 'karma', 'reward']",Blessing ceremonies,Good fortune and prosperity
00001000,Seeking knowledge,662,Movement from ignorance to wisdom,OduIfa:SoulLayer,Darkness Seeks Light,Oyeku-Ogbe,8,"['ignorance', 'wisdom', 'seeking']",Dawn ceremonies,Enlightenment journey
00001001,Communication with dead,663,Deep mysteries and the unknown - ancestral realm,OduIfa:SoulLayer,Double Darkness,Oyeku-Meji,9,"['mystery', 'ancestors', 'occult']",Ancestral veneration,Mystery and the occult
00001010,Uncovering hidden issues,664,Hidden obstacles - what cannot yet be seen,OduIfa:SoulLayer,Darkness On Path,Oyeku-Iwori,10,"['hidden', 'danger', 'revelation']",Divination for dangers,Hidden threats
00001011,Psychological challenges,665,Internal conflict - battling inner demons,OduIfa:SoulLayer,Darkness In Strife,Oyeku-Odi,11,"['internal', 'conflict', 'demons']",Spiritual warfare,Internal struggle
00001100,Uncovering truth,666,Manifestation of hidden things - secrets revealed,OduIfa:SoulLayer,Darkness Grounds,Oyeku-Irosun,12,"['secrets', 'revelation', 'truth']",Truth ceremonies,Revelation of secrets
00001101,Unclear situations,667,Confusion and disorientation - loss of bearings,OduIfa:SoulLayer,Darkness Churns,Oyeku-Owonrin,13,"['confusion', 'misdirection', 'protection']",Protection rituals,Confusion and misdirection
00001110,Deep spiritual change,668,Transformation in the unseen realm,OduIfa:SoulLayer,Darkness Changes Form,Oyeku-Obara,14,"['shadow', 'occult', 'transformation']",Shadow work,Occult transformation
00001111,Finding hidden resources,669,Hidden resources - treasures in shadow,OduIfa:SoulLayer,Darkness Conceals Wealth,Oyeku-Okonron,15,"['hidden', 'resources', 'treasure']",Treasure seeking,Hidden abundance
00010000,Spiritual journey questions,670,Journey toward understanding and clarity,OduIfa:SoulLayer,Path To Light,Iwori-Ogbe,16,"['journey', 'quest', 'enlightenment']",Pilgrimage,Quest for enlightenment
00010001,Travel and danger,671,Dangerous journey - navigating peril,OduIfa:SoulLayer,Path Through Shadow,Iwori-Oyeku,17,"['danger', 'travel', 'protection']",Protection during travel,Perilous journey
00010010,Major life decisions,672,Choices and crossroads - fork in the road,OduIfa:SoulLayer,Double Path,Iwori-Meji,18,"['choice', 'crossroads', 'decision']",Decision ceremonies,Critical choice point
00010011,Martial challenges,673,Journey through strife - warrior's road,OduIfa:SoulLayer,Path Of Conflict,Iwori-Odi,19,"['warrior', 'combat', 'strife']",Warrior initiation,Combative path
00010100,Career and work path,674,Journey to material success - effort rewarded,OduIfa:SoulLayer,Path Of Manifestation,Iwori-Irosun,20,"['career', 'effort', 'success']",Trade journeys,Productive journey
00010101,Unpredictable situations,675,Unpredictable journey - expect the unexpected,OduIfa:SoulLayer,Path Of Chaos,Iwori-Owonrin,21,"['chaos', 'uncertainty', 'adaptation']",Chaos navigation,Uncertain path
00010110,Personal evolution path,676,Journey of transformation - becoming,OduIfa:SoulLayer,Path Of Change,Iwori-Obara,22,"['transformation', 'passage', 'becoming']",Rites of passage,Transformative journey
00010111,Profitable ventures,677,Lucky journey - favorable winds,OduIfa:SoulLayer,Path Of Fortune,Iwori-Okonron,23,"['fortune', 'luck', 'profit']",Blessing travels,Fortunate path
00011000,Ending disputes,678,Strife moving toward peace,OduIfa:SoulLayer,Conflict Seeks Resolution,Odi-Ogbe,24,"['peace', 'resolution', 'ending']",Peace ceremonies,Conflict resolution
00011001,Hidden enemies,679,Hidden warfare - unseen battles,OduIfa:SoulLayer,Conflict In Darkness,Odi-Oyeku,25,"['hidden', 'enemies', 'warfare']",Spiritual protection,Occult conflict
00011010,Removing impediments,680,Obstacles blocking progress,OduIfa:SoulLayer,Conflict On Path,Odi-Iwori,26,"['obstacles', 'barriers', 'removal']",Obstacle removal,Barriers and blocks
00011011,Overwhelming conflict,681,Intense struggle - war on all sides,OduIfa:SoulLayer,Double Conflict,Odi-Meji,27,"['war', 'struggle', 'intensity']",Battle preparation,Total war
00011100,Property disputes,682,争夺物质 - competition for wealth,OduIfa:SoulLayer,Conflict Over Resources,Odi-Irosun,28,"['competition', 'resources', 'property']",Resource disputes,Material competition
00011101,Lawless situations,683,Unpredictable warfare - no rules,OduIfa:SoulLayer,Chaotic Conflict,Odi-Owonrin,29,"['anarchy', 'chaos', 'lawlessness']",Chaos warfare,Anarchic strife
00011110,Major upheaval,684,Struggle that changes everything,OduIfa:SoulLayer,Transformative Conflict,Odi-Obara,30,"['revolution', 'upheaval', 'change']",Revolutionary rites,Revolutionary change
00011111,Winning disputes,685,Gains through struggle - victory spoils,OduIfa:SoulLayer,Profitable Conflict,Odi-Okonron,31,"['victory', 'gains', 'winning']",Victory ceremonies,Victorious conflict
00100000,Prosperity questions,686,Divine blessing on material plane,OduIfa:SoulLayer,Earth Receives Light,Irosun-Ogbe,32,"['blessing', 'prosperity', 'divine']",Agricultural rites,Divine material blessing
00100001,Financial difficulties,687,Material loss - resources diminishing,OduIfa:SoulLayer,Earth In Shadow,Irosun-Oyeku,33,"['loss', 'decline', 'famine']",Famine preparation,Material decline
00100010,Business travel,688,Material journey - physical travel,OduIfa:SoulLayer,Earth On Path,Irosun-Iwori,34,"['trade', 'business', 'travel']",Trade routes,Material journey
00100011,Property rights,689,Property disputes - land battles,OduIfa:SoulLayer,Earth In Conflict,Irosun-Odi,35,"['property', 'land', 'territory']",Land disputes,Territorial conflict
00100100,Wealth accumulation,690,Abundance and fertility - harvest time,OduIfa:SoulLayer,Double Earth,Irosun-Meji,36,"['abundance', 'fertility', 'wealth']",Harvest festivals,Material abundance
00100101,Economic instability,691,Unpredictable material conditions,OduIfa:SoulLayer,Chaotic Earth,Irosun-Owonrin,37,"['uncertainty', 'disaster', 'instability']",Disaster preparation,Material uncertainty
00100110,Career changes,692,Material transformation - alchemy,OduIfa:SoulLayer,Transforming Earth,Irosun-Obara,38,"['alchemy', 'craft', 'change']",Craft ceremonies,Material transformation
00100111,Business success,693,Material blessings - prosperity,OduIfa:SoulLayer,Fortunate Earth,Irosun-Okonron,39,"['fortune', 'wealth', 'success']",Wealth ceremonies,Material fortune
