odu_number,binary_pattern,name_yoruba,name_english,interpretation,ritual_context,symbolic_meaning,divination_use,related_themes
37,00100101,Irosun-Owonrin,Chaotic Earth,Unpredictable material conditions,Disaster preparation,Material uncertainty,Economic instability,uncertainty|disaster|instability
38,00100110,Irosun-Obara,Transforming Earth,Material transformation - alchemy,Craft ceremonies,Material transformation,Career changes,alchemy|craft|change
39,00100111,Irosun-Okonron,Fortunate Earth,Material blessings - prosperity,Wealth ceremonies,Material fortune,Business success,fortune|wealth|success
40,00101000,Owonrin-Ogbe,Chaos Meets Order,Entropy organizing - creating from chaos,Creation from chaos,Emergent order,Creating structure,creation|order|emergence
41,00101001,Owonrin-Oyeku,Chaos In Darkness,Complete confusion - total disorientation,Protection from chaos,Utter confusion,Crisis situations,confusion|crisis|disorientation
42,00101010,Owonrin-Iwori,Chaos On Path,Unpredictable journey - random events,Chaos navigation,Random journey,Unexpected events,random|unexpected|chaos
43,00101011,Owonrin-Odi,Chaotic Conflict,Anarchic warfare - no rules,Chaos warfare,Lawless strife,Anarchic situations,anarchy|chaos|lawlessness
44,00101100,Owonrin-Irosun,Chaotic Material,Economic chaos - market instability,Economic protection,Material chaos,Financial crises,chaos|economy|crisis
45,00101101,Owonrin-Meji,Double Chaos,Maximum entropy - complete randomness,Chaos management,Total chaos,Overwhelming randomness,chaos|entropy|randomness
46,00101110,Owonrin-Obara,Chaos Transforms,Change through disorder - creative destruction,Revolutionary change,Transformative chaos,Disruptive innovation,disruption|innovation|destruction
47,00101111,Owonrin-Okonron,Fortunate Chaos,Luck in disorder - finding order in chaos,Chaos opportunity,Opportunistic chaos,Unexpected blessings,opportunity|luck|chaos
48,00110000,Obara-Ogbe,Change Toward Light,Transformation toward divinity,Spiritual evolution,Upward transformation,Spiritual advancement,evolution|advancement|divinity
49,00110001,Obara-Oyeku,Change Into Shadow,Descent and dissolution - dark night of soul,Dark night,Downward transformation,Spiritual crisis,descent|crisis|dissolution
50,00110010,Obara-Iwori,Change On Path,Transforming journey - becoming different,Pilgrimage,Journey of change,Personal evolution,evolution|journey|becoming
51,00110011,Obara-Odi,Transformative Conflict,Struggle creating change,Revolutionary rites,Revolutionary transformation,Major upheaval,revolution|upheaval|transformation
52,00110100,Obara-Irosun,Material Transformation,Physical metamorphosis - changing form,Shape-shifting,Material change,Career transformation,metamorphosis|change|career
53,00110101,Obara-Owonrin,Chaotic Transformation,Unpredictable change - random mutation,Chaos change,Random transformation,Unexpected changes,random|mutation|unexpected
54,00110110,Obara-Meji,Double Transformation,Complete metamorphosis - total rebirth,Rebirth ceremonies,Total transformation,Complete life change,rebirth|metamorphosis|total
55,00110111,Obara-Okonron,Fortunate Change,Beneficial transformation - evolution,Beneficial change,Positive transformation,Beneficial evolution,beneficial|positive|evolution
56,00111000,Okonron-Ogbe,Fortune From Light,Divine blessings - heavenly gifts,Blessing ceremonies,Divine fortune,Spiritual blessings,blessings|divine|gifts
57,00111001,Okonron-Oyeku,Fortune In Shadow,Hidden blessings - disguised gifts,Hidden blessings,Occult fortune,Unexpected benefits,hidden|occult|unexpected
58,00111010,Okonron-Iwori,Fortune On Path,Lucky journey - favorable conditions,Fortunate travel,Lucky journey,Successful ventures,luck|success|favorable
59,00111011,Okonron-Odi,Fortune Through Conflict,Gains from struggle - war spoils,Victory ceremonies,Victorious fortune,Winning battles,victory|gains|winning
60,00111100,Okonron-Irosun,Material Fortune,Wealth and prosperity - abundance,Wealth ceremonies,Material abundance,Financial success,wealth|prosperity|abundance
61,00111101,Okonron-Owonrin,Chaotic Fortune,Luck in chaos - random blessings,Chaos blessings,Random fortune,Unexpected luck,chaos|luck|random
62,00111110,Okonron-Obara,Transformative Fortune,Blessings through change,Transformative blessings,Evolving fortune,Growing prosperity,growth|evolution|prosperity
63,00111111,Okonron-Meji,Double Fortune,Maximum blessings - ultimate prosperity,Ultimate blessings,Total fortune,Complete success,ultimate|total|complete
64,01000000,Ogunda-Ogbe,Warrior Seeks Light,Military campaign for righteous cause,Holy war,Sacred warfare,Fighting for justice,justice|war|righteousness
65,01000001,Ogunda-Oyeku,Warrior In Darkness,Hidden warfare - covert operations,Espionage,Covert warfare,Secret conflicts,covert|secret|espionage
66,01000010,Ogunda-Iwori,Warrior On Path,Military campaign - journey to battle,Military campaign,Warrior journey,Strategic movement,campaign|strategy|movement
67,01000011,Ogunda-Odi,Warrior In Conflict,Combat and warfare - direct confrontation,Battle,Direct combat,Active warfare,combat|warfare|battle
68,01000100,Ogunda-Irosun,Warrior Seeks Resources,Fighting for material gains,Resource warfare,Material conquest,Economic warfare,resources|conquest|economics
69,01000101,Ogunda-Owonrin,Warrior In Chaos,Guerrilla warfare - irregular combat,Guerrilla war,Chaotic warfare,Irregular combat,guerrilla|irregular|chaos
70,01000110,Ogunda-Obara,Warrior Transforms,Combat evolution - martial growth,Martial evolution,Warrior transformation,Military advancement,evolution|martial|advancement
71,01000111,Ogunda-Okonron,Warrior Finds Fortune,Victory and spoils - successful campaign,Victory,Successful warfare,Military victory,victory|success|spoils
72,01001000,Osa-Ogbe,Time Moves To Light,Progress toward enlightenment,Progress ceremonies,Temporal advancement,Forward movement,progress|advancement|forward
73,01001001,Osa-Oyeku,Time In Darkness,Stagnation and delay - stuck in time,Breaking stagnation,Temporal stasis,Delays and blockages,stagnation|delay|stuck
74,01001010,Osa-Iwori,Time On Path,Journey through time - temporal voyage,Time travel,Temporal journey,Historical inquiries,time|history|journey
75,01001011,Osa-Odi,Time In Conflict,Battles across time - historical conflicts,Historical warfare,Temporal conflict,Legacy disputes,history|legacy|temporal
76,01001100,Osa-Irosun,Time Manifests Material,Historical wealth - inherited resources,Inheritance,Historical resources,Ancestral wealth,inheritance|ancestors|legacy
77,01001101,Osa-Owonrin,Chaotic Time,Unpredictable temporal flow - time distortions,Time chaos,Temporal chaos,Schedule disruptions,chaos|time|disruption
78,01001110,Osa-Obara,Time Transforms,Historical change - evolution over time,Historical change,Temporal transformation,Evolutionary change,evolution|history|change
79,01001111,Osa-Okonron,Time Brings Fortune,Patience rewarded - waiting pays off,Patience rewards,Temporal fortune,Long-term gains,patience|waiting|gains
80,01010000,Ika-Ogbe,Web Toward Light,Connections leading to understanding,Network building,Connective enlightenment,Building relationships,connection|network|understanding
81,01010001,Ika-Oyeku,Web In Darkness,Hidden connections - occult networks,Secret societies,Occult networks,Hidden alliances,secret|occult|hidden
82,01010010,Ika-Iwori,Web On Path,Journey through networks - social travel,Social navigation,Network journey,Social climbing,network|social|navigation
83,01010011,Ika-Odi,Web In Conflict,Conflicting alliances - network warfare,Alliance warfare,Network conflict,Political struggles,alliance|politics|conflict
84,01010100,Ika-Irosun,Web Of Resources,Economic networks - trade connections,Trade networks,Economic connections,Business networks,trade|economics|business
85,01010101,Ika-Owonrin,Chaotic Web,Unpredictable connections - random networks,Chaos networks,Random connections,Unexpected contacts,chaos|random|unexpected
86,01010110,Ika-Obara,Web Transforms,Network evolution - changing connections,Network evolution,Transforming connections,Evolving relationships,evolution|transformation|relationships
87,01010111,Ika-Okonron,Fortunate Web,Beneficial connections - lucky networks,Beneficial networks,Fortunate connections,Profitable alliances,beneficial|profitable|alliances
88,01011000,Oturupon-Ogbe,Flow To Light,Progression toward enlightenment,Flow ceremonies,Progressive flow,Smooth advancement,flow|progression|smooth
89,01011001,Oturupon-Oyeku,Flow In Darkness,Hidden currents - occult flows,Hidden flows,Occult currents,Subterranean movements,hidden|occult|subterranean
90,01011010,Oturupon-Iwori,Flow On Path,Flowing journey - liquid travel,Fluid journey,Flowing path,River journeys,fluid|river|flow
91,01011011,Oturupon-Odi,Flow In Conflict,Conflicting currents - opposing flows,Current conflict,Opposing flows,Contradictory forces,opposing|contradiction|conflict
92,01011100,Oturupon-Irosun,Material Flow,Economic flow - wealth circulation,Economic flow,Material circulation,Money movement,circulation|money|economics
93,01011101,Oturupon-Owonrin,Chaotic Flow,Turbulent currents - chaotic flows,Chaos currents,Turbulent flow,Unstable conditions,chaos|turbulent|unstable
94,01011110,Oturupon-Obara,Transforming Flow,Evolutionary currents - changing flows,Flow transformation,Transforming currents,Evolving patterns,evolution|transformation|patterns
95,01011111,Oturupon-Okonron,Fortunate Flow,Beneficial currents - lucky flows,Beneficial flow,Fortunate currents,Favorable conditions,beneficial|favorable|fortune
96,01100000,Otura-Ogbe,Fire Toward Light,Passionate pursuit of enlightenment,Fire ceremonies,Passionate enlightenment,Intense spiritual seeking,passion|intensity|seeking
97,01100001,Otura-Oyeku,Fire In Darkness,Hidden fire - occult passion,Hidden fire,Occult passion,Secret desires,hidden|passion|secret
98,01100010,Otura-Iwori,Fire On Path,Passionate journey - burning desire,Passionate journey,Fiery path,Intense quest,passion|desire|quest
99,01100011,Otura-Odi,Fire In Conflict,Passionate warfare - burning conflict,Passionate warfare,Fiery conflict,Intense battles,passion|intensity|warfare
100,01100100,Otura-Irosun,Material Fire,Passionate acquisition - burning desire for wealth,Passionate acquisition,Fiery materialism,Intense ambition,passion|ambition|wealth
101,01100101,Otura-Owonrin,Chaotic Fire,Unpredictable passion - wild fire,Chaos fire,Wild passion,Uncontrolled desire,chaos|wild|uncontrolled
102,01100110,Otura-Obara,Transforming Fire,Passionate transformation - burning change,Fire transformation,Transformative passion,Intense evolution,transformation|passion|evolution
103,01100111,Otura-Okonron,Fortunate Fire,Lucky passion - beneficial desire,Fortunate passion,Lucky fire,Beneficial intensity,fortune|passion|beneficial
104,01101000,Irete-Ogbe,Pressure Toward Light,Stress leading to enlightenment,Pressure ceremonies,Pressurized enlightenment,Growth through stress,pressure|stress|growth
105,01101001,Irete-Oyeku,Pressure In Darkness,Hidden stress - occult pressure,Hidden pressure,Occult stress,Secret burdens,hidden|stress|secret
106,01101010,Irete-Iwori,Pressure On Path,Stressful journey - pressure travel,Pressure journey,Stressful path,Difficult journey,pressure|stress|difficulty
107,01101011,Irete-Odi,Pressure In Conflict,Intense warfare - pressure warfare,Pressure warfare,Intense conflict,High-stress battles,pressure|intensity|warfare
108,01101100,Irete-Irosun,Material Pressure,Economic stress - financial pressure,Economic pressure,Financial stress,Material burdens,pressure|stress|economics
109,01101101,Irete-Owonrin,Chaotic Pressure,Unpredictable stress - chaos pressure,Chaos pressure,Random stress,Unexpected burdens,chaos|stress|unexpected
110,01101110,Irete-Obara,Transforming Pressure,Stress-induced change - pressure transformation,Pressure transformation,Stress evolution,Change through burden,transformation|stress|change
111,01101111,Irete-Okonron,Fortunate Pressure,Beneficial stress - lucky pressure,Fortunate pressure,Beneficial stress,Productive burden,fortune|stress|productive
112,01110000,Ose-Ogbe,Victory Toward Light,Triumph leading to enlightenment,Victory ceremonies,Victorious enlightenment,Winning spiritually,victory|triumph|spiritual
113,01110001,Ose-Oyeku,Victory In Darkness,Hidden triumph - occult victory,Hidden victory,Occult triumph,Secret wins,hidden|triumph|secret
114,01110010,Ose-Iwori,Victory On Path,Triumphant journey - winning path,Victory journey,Triumphant path,Successful quest,victory|success|quest
115,01110011,Ose-Odi,Victory In Conflict,Winning warfare - battle triumph,Battle victory,Triumphant warfare,Military success,victory|warfare|success
116,01110100,Ose-Irosun,Material Victory,Economic triumph - financial success,Economic victory,Material triumph,Business success,victory|success|business
117,01110101,Ose-Owonrin,Chaotic Victory,Unexpected triumph - chaos victory,Chaos victory,Random triumph,Unexpected wins,chaos|unexpected|triumph
118,01110110,Ose-Obara,Transforming Victory,Evolutionary triumph - victory transformation,Victory transformation,Triumphant evolution,Winning change,victory|evolution|transformation
119,01110111,Ose-Okonron,Fortunate Victory,Lucky triumph - maximum victory,Ultimate victory,Complete triumph,Total success,ultimate|complete|total
120,01111000,Ofun-Ogbe,Spirit To Light,Spiritual ascension - divine connection,Ascension ceremonies,Spiritual enlightenment,Divine communion,spirit|ascension|divine
121,01111001,Ofun-Oyeku,Spirit In Darkness,Occult spirituality - dark mysticism,Dark mysticism,Occult spirit,Shadow spirituality,occult|mysticism|shadow
122,01111010,Ofun-Iwori,Spirit On Path,Spiritual journey - quest for meaning,Spiritual quest,Mystical journey,Seeking divinity,spiritual|quest|mystical
123,01111011,Ofun-Odi,Spirit In Conflict,Spiritual warfare - fighting evil,Spiritual warfare,Holy conflict,Battling demons,spiritual|warfare|demons
124,01111100,Ofun-Irosun,Material Spirit,Earthly spirituality - grounded mysticism,Grounded spirituality,Material mysticism,Practical faith,grounded|practical|faith
125,01111101,Ofun-Owonrin,Chaotic Spirit,Unpredictable spirituality - wild mysticism,Chaos spirituality,Wild mysticism,Ecstatic faith,chaos|ecstatic|wild
126,01111110,Ofun-Obara,Transforming Spirit,Spiritual evolution - mystical growth,Spiritual evolution,Mystical transformation,Evolving faith,evolution|transformation|mystical
127,01111111,Ofun-Meji,Double Spirit,Ultimate spirituality - pure mysticism,Ultimate mysticism,Complete spirit,Total enlightenment,ultimate|complete|total
128,10000000,Ogbe-Sa,Light Closes,Divine endings - sacred completion,Closing ceremonies,Divine closure,Sacred endings,divine|closure|endings
129,10000001,Oyeku-Sa,Darkness Closes,Occult endings - mystery completion,Occult closure,Mysterious endings,Hidden conclusions,occult|mystery|hidden
130,10000010,Iwori-Sa,Path Closes,Journey ending - destination reached,Journey completion,Path conclusion,Arrival ceremonies,journey|arrival|completion
131,10000011,Odi-Sa,Conflict Closes,War ending - peace achieved,Peace treaties,Conflict resolution,Battle conclusions,peace|resolution|war
132,10000100,Irosun-Sa,Earth Closes,Material completion - harvest complete,Harvest end,Material closure,Economic cycle end,harvest|material|cycle
133,10000101,Owonrin-Sa,Chaos Closes,Order from chaos - entropy resolved,Order restoration,Chaos resolution,Stabilization,order|stabilization|resolution
134,10000110,Obara-Sa,Change Closes,Transformation complete - new form stabilized,Form stabilization,Transformation end,Evolution complete,stabilization|evolution|complete
135,10000111,Okonron-Sa,Fortune Closes,Prosperity cycle complete - abundance secured,Prosperity end,Fortune secured,Wealth established,prosperity|wealth|secured
136,10001000,Ogunda-Sa,Warrior Rests,Combat ending - peace for warrior,Warrior rest,Combat conclusion,Battle end,peace|rest|conclusion
137,10001001,Osa-Sa,Time Closes,Historical cycle complete - era ending,Era end,Historical closure,Time completion,era|history|completion
138,10001010,Ika-Sa,Web Closes,Network completion - connections secured,Network secured,Connection completion,Alliance finalized,network|alliance|finalized
139,10001011,Oturupon-Sa,Flow Closes,Current ending - flow stabilized,Flow stabilization,Current completion,Stream conclusion,stabilization|flow|conclusion
140,10001100,Otura-Sa,Fire Closes,Passion cooling - desire satisfied,Passion satisfied,Fire conclusion,Desire fulfilled,passion|fulfillment|satisfied
141,10001101,Irete-Sa,Pressure Closes,Stress relieved - burden lifted,Stress relief,Pressure released,Burden ended,relief|released|ended
142,10001110,Ose-Sa,Victory Closes,Triumph complete - victory secured,Victory secured,Triumph complete,Success established,victory|success|secured
143,10001111,Ofun-Sa,Spirit Closes,Spiritual completion - enlightenment achieved,Enlightenment achieved,Spiritual fulfillment,Mystical completion,enlightenment|fulfillment|mystical
144,10010000,Ogbe-Tura,Light Burns,Divine passion - sacred fire,Sacred fire,Divine intensity,Holy passion,divine|passion|sacred
145,10010001,Oyeku-Tura,Darkness Burns,Occult fire - hidden passion,Occult fire,Hidden intensity,Secret desire,occult|passion|secret
146,10010010,Iwori-Tura,Path Burns,Passionate journey - fiery quest,Fiery quest,Passionate path,Burning journey,passion|quest|burning
147,10010011,Odi-Tura,Conflict Burns,Intense warfare - burning battles,Burning battles,Intense warfare,Passionate conflict,intensity|warfare|passion
148,10010100,Irosun-Tura,Earth Burns,Material passion - fiery acquisition,Fiery acquisition,Material intensity,Burning ambition,passion|ambition|intensity
149,10010101,Owonrin-Tura,Chaos Burns,Wild fire - chaotic passion,Wild fire,Chaotic intensity,Uncontrolled desire,chaos|wild|uncontrolled
150,10010110,Obara-Tura,Change Burns,Passionate transformation - burning evolution,Burning evolution,Intense transformation,Passionate change,passion|transformation|intensity
151,10010111,Okonron-Tura,Fortune Burns,Lucky passion - fortunate fire,Fortunate fire,Lucky intensity,Beneficial passion,fortune|passion|beneficial
152,10011000,Ogunda-Tura,Warrior Burns,Passionate warfare - burning combat,Burning combat,Intense warfare,Passionate battle,passion|intensity|warfare
153,10011001,Osa-Tura,Time Burns,Urgent time - burning deadlines,Burning deadlines,Urgent time,Passionate history,urgency|deadlines|passion
154,10011010,Ika-Tura,Web Burns,Passionate connections - burning networks,Burning networks,Intense connections,Passionate alliances,passion|intensity|connections
155,10011011,Oturupon-Tura,Flow Burns,Passionate currents - burning flows,Burning flows,Intense currents,Passionate streams,passion|intensity|flow
156,10011100,Otura-Meji,Double Fire,Maximum passion - burning intensity,Maximum intensity,Ultimate fire,Complete passion,ultimate|complete|maximum
157,10011101,Irete-Tura,Pressure Burns,Intense stress - burning pressure,Burning pressure,Extreme stress,Passionate burden,intensity|stress|pressure
158,10011110,Ose-Tura,Victory Burns,Passionate triumph - burning victory,Burning victory,Intense triumph,Passionate success,passion|intensity|victory
159,10011111,Ofun-Tura,Spirit Burns,Ecstatic spirituality - burning faith,Burning faith,Intense mysticism,Passionate spirit,ecstatic|intensity|passion
160,10100000,Ogbe-Rete,Light Presses,Divine pressure - sacred burden,Sacred burden,Divine stress,Holy pressure,divine|pressure|burden
161,10100001,Oyeku-Rete,Darkness Presses,Hidden stress - occult pressure,Occult pressure,Hidden burden,Secret stress,occult|pressure|hidden
162,10100010,Iwori-Rete,Path Presses,Difficult journey - pressured path,Pressured path,Stressful journey,Burdened quest,pressure|stress|burden
163,10100011,Odi-Rete,Conflict Presses,Pressured warfare - stressed combat,Stressed combat,Pressured warfare,Burdened battles,pressure|stress|warfare
164,10100100,Irosun-Rete,Earth Presses,Economic pressure - material stress,Economic stress,Material pressure,Financial burden,pressure|stress|economics
165,10100101,Owonrin-Rete,Chaos Presses,Chaotic pressure - random stress,Chaotic stress,Random pressure,Unpredictable burden,chaos|pressure|random
166,10100110,Obara-Rete,Change Presses,Transformation stress - evolutionary pressure,Evolution pressure,Transformative stress,Change burden,transformation|pressure|stress
167,10100111,Okonron-Rete,Fortune Presses,Lucky pressure - beneficial stress,Beneficial stress,Fortunate pressure,Productive burden,fortune|pressure|beneficial
168,10101000,Ogunda-Rete,Warrior Presses,Combat pressure - battle stress,Battle stress,Combat pressure,Warrior burden,pressure|stress|combat
169,10101001,Osa-Rete,Time Presses,Deadline pressure - temporal stress,Deadline stress,Time pressure,Urgent burden,pressure|urgency|deadline
170,10101010,Ika-Rete,Web Presses,Network pressure - connection stress,Connection stress,Network pressure,Alliance burden,pressure|stress|network
171,10101011,Oturupon-Rete,Flow Presses,Current pressure - flow stress,Flow stress,Current pressure,Stream burden,pressure|stress|flow
172,10101100,Otura-Rete,Fire Presses,Passionate pressure - burning stress,Burning stress,Intense pressure,Passionate burden,passion|intensity|pressure
173,10101101,Irete-Meji,Double Pressure,Maximum stress - extreme burden,Maximum stress,Ultimate pressure,Complete burden,ultimate|maximum|extreme
174,10101110,Ose-Rete,Victory Presses,Triumphant pressure - winning stress,Winning stress,Victorious pressure,Success burden,victory|pressure|success
175,10101111,Ofun-Rete,Spirit Presses,Spiritual pressure - mystical stress,Mystical stress,Spiritual pressure,Holy burden,spiritual|pressure|mystical
176,10110000,Ogbe-Se,Light Triumphs,Divine victory - sacred success,Sacred success,Divine triumph,Holy victory,divine|victory|sacred
177,10110001,Oyeku-Se,Darkness Triumphs,Occult victory - hidden success,Occult success,Hidden triumph,Secret victory,occult|victory|hidden
178,10110010,Iwori-Se,Path Triumphs,Journey victory - quest success,Quest success,Path triumph,Journey victory,journey|success|quest
179,10110011,Odi-Se,Conflict Triumphs,Battle victory - war success,War success,Combat triumph,Battle victory,war|victory|combat
180,10110100,Irosun-Se,Earth Triumphs,Material victory - economic success,Economic success,Material triumph,Business victory,economics|victory|business
181,10110101,Owonrin-Se,Chaos Triumphs,Unexpected victory - chaos success,Chaos success,Random triumph,Unexpected victory,chaos|victory|unexpected
182,10110110,Obara-Se,Change Triumphs,Transformation victory - evolutionary success,Evolution success,Transformative triumph,Change victory,evolution|victory|transformation
183,10110111,Okonron-Se,Fortune Triumphs,Lucky victory - fortunate success,Fortunate success,Lucky triumph,Maximum victory,fortune|victory|lucky
184,10111000,Ogunda-Se,Warrior Triumphs,Combat victory - military success,Military success,Warrior triumph,Battle victory,military|victory|warrior
185,10111001,Osa-Se,Time Triumphs,Historical victory - temporal success,Historical success,Time triumph,Era victory,history|victory|temporal
186,10111010,Ika-Se,Web Triumphs,Network victory - connection success,Connection success,Alliance triumph,Network victory,network|victory|alliance
187,10111011,Oturupon-Se,Flow Triumphs,Current victory - flow success,Flow success,Stream triumph,Current victory,flow|victory|stream
188,10111100,Otura-Se,Fire Triumphs,Passionate victory - burning success,Burning success,Intense triumph,Passionate victory,passion|victory|intensity
189,10111101,Irete-Se,Pressure Triumphs,Stressed victory - burdened success,Stressed success,Pressured triumph,Burden victory,pressure|victory|burden
190,10111110,Ose-Meji,Double Victory,Maximum triumph - ultimate success,Ultimate success,Complete triumph,Total victory,ultimate|complete|total
191,10111111,Ofun-Se,Spirit Triumphs,Spiritual victory - mystical success,Mystical success,Spiritual triumph,Holy victory,spiritual|victory|mystical
192,11000000,Ogbe-Fun,Light Spiritualizes,Divine spirituality - sacred mysticism,Sacred mysticism,Divine spirituality,Holy faith,divine|spiritual|sacred
193,11000001,Oyeku-Fun,Darkness Spiritualizes,Occult spirituality - hidden mysticism,Occult mysticism,Hidden spirituality,Secret faith,occult|spiritual|hidden
194,11000010,Iwori-Fun,Path Spiritualizes,Spiritual journey - mystical quest,Mystical quest,Spiritual path,Holy journey,spiritual|mystical|quest
195,11000011,Odi-Fun,Conflict Spiritualizes,Spiritual warfare - holy combat,Holy combat,Spiritual warfare,Faith battles,spiritual|warfare|holy
196,11000100,Irosun-Fun,Earth Spiritualizes,Grounded spirituality - material mysticism,Material mysticism,Grounded faith,Earthly spirituality,grounded|material|spiritual
197,11000101,Owonrin-Fun,Chaos Spiritualizes,Ecstatic spirituality - wild mysticism,Wild mysticism,Chaotic faith,Ecstatic spirituality,chaos|ecstatic|spiritual
198,11000110,Obara-Fun,Change Spiritualizes,Spiritual evolution - mystical transformation,Mystical evolution,Spiritual transformation,Faith evolution,spiritual|transformation|mystical
