name,country,region,decision_method,authority_source,dispute_resolution,conflict_transformation,strengths,weaknesses,modern_relevance
Gerontocracy,Pan-African,Pan-African,Rule by elders|age-based authority|wisdom governance,Elder age|life experience|ancestral proximity,Elder councils|moral judgment|age-based hierarchy,"Traditional village governance across Africa",Wisdom application|cultural continuity|moral authority,Age bias|slow adaptation|gender imbalance,Advisory councils|moral guidance|cultural preservation
Lekgotla,Southern Africa (Tswana),Southern Africa,Public gathering|open debate|chief listens then decides,Chief as facilitator|community voice|customary authority,Public debate|chief judgment|community input,"Botswana kgotla system|village governance|community meetings",Transparent process|community participation|accessible justice,Chief's final say|male-dominated|time-intensive,Community forums|public meetings|participatory governance
Nyumba Kumi,East Africa (Swahili),East Africa,Ten-household clusters|neighbor accountability|collective security,Neighborhood clusters|elected leaders|mutual responsibility,Neighbor mediation|cluster arbitration|community policing,"Coastal Swahili communities|modern Kenya/Tanzania security model",Local knowledge|quick response|community ownership,Surveillance concerns|neighbor pressure|privacy issues,Neighborhood watch|community policing|local security
Egbe,Nigeria (Yoruba),West Africa,Age-grade associations|peer governance|collective action,Peer cohorts|elected leaders|group solidarity,Peer pressure|group sanctions|internal arbitration,"Youth organizations|trade guilds|social societies",Peer accountability|collective action|social cohesion,Age exclusivity|group pressure|limited authority,Youth organizations|peer mediation|community development
Mato Oput,Uganda (Acholi),East Africa,Drinking bitter root together|ritual reconciliation|spiritual cleansing,Spiritual elders|ritual authority|ancestral spirits,Ritual confession|drinking bitter root|compensation|spiritual cleansing,"LRA conflict aftermath|traditional justice|reconciliation ceremonies",Spiritual healing|community reintegration|symbolic power,Spiritual coercion|gender bias|LRA atrocity scale,Post-conflict reconciliation|traditional justice|community healing
Baraza,East Africa (Swahili),East Africa,Public gathering|open forum|collective deliberation,Community elders|public voice|consensus,Public debate|collective judgment|transparent process,"Coastal communities|urban adaptations|civic forums",Participatory democracy|transparent|accessible,Time-intensive|requires quorum|male-dominated,Community meetings|civic forums|public consultations
Bashingantahe,Burundi,East Africa,Upright men of integrity|mediator class|moral authority,Personal integrity|community selection|moral standing,Mediation circles|truth-telling|restorative settlements,"Pre-colonial Burundi|conflict mediation|moral arbitration",Moral authority|community respect|restorative focus,Exclusivity|gender bias|ethnic tension exploitation,Mediation services|conflict resolution|moral guidance
Abunzi Committees,Rwanda,East Africa,Community mediators|pre-Gacaca mediation|local arbitration,Elected mediators|community legitimacy|state support,Mediation process|binding agreements|appeal option,"Post-genocide Rwanda|formal mediation|dispute resolution",Accessible justice|cost-effective|culturally grounded,Binding authority|potential bias|limited appeal,Community mediation|first-instance justice|dispute resolution
Kuper System,South Africa (Swazi),Southern Africa,Chieftaincy with councils|customary law|king's authority,Royal lineage|ancestral mandate|Swazi tradition,Royal courts|customary law|council advice,"Swazi kingdom|contemporary Eswatini governance",Cultural continuity|clear authority|customary legitimacy,Absolute monarchy|limited representation|gender exclusion,Traditional courts|customary law|cultural governance
Xeer System,Somalia,East Africa,Customary law|clan elders|contractual agreements,Clan elders|customary precedent|contractual tradition,Elder mediation|blood compensation|peace agreements,"Somali clan governance|stateless period|diaspora communities",Portable justice|clan legitimacy|flexible adaptation,Clan warfare|blood feud|gender exclusion,Diaspora governance|stateless societies|customary law
Council of Notables,North Africa,North Africa,Notable families gather|wealth-based authority|elite deliberation,Family prestige|wealth|education|religious authority,Negotiation|influence|resource leverage,"Urban North Africa|historic trade cities|elite governance",Elite expertise|resource mobilization|diplomatic skill,Plutocracy|exclusivity|limited representation,Elite councils|diplomatic negotiations|governance advisory
Jamaa (Family Councils),Pan-African,Pan-African,Extended family gathering|senior family members|family unity,Family elders|kinship authority|family interest,Internal mediation|family honor|elder guidance,"Pan-African family governance|marriage disputes|inheritance",Family cohesion|confidential|culturally appropriate,Family pressure|patriarchal bias|limited external recourse,Family mediation|inheritance disputes|marriage counseling
Shura Councils,East Africa (Islamic),East Africa,Consultative council|Islamic principles|consensus seeking,Religious scholarship|community consultation|Islamic law,Quranic principles|scholarly interpretation|community consensus,"East African Muslim communities|Swahili coast|Islamic governance",Religious legitimacy|scholarly guidance|consultative process,Religious dogma|limited pluralism|gender restrictions,Religious councils|Islamic governance|community consultation
Umutwe Courts,Burundi,Central Africa,Hill courts|local jurisdiction|customary law,Hill chiefs|customary authority|colonial legacy,Local arbitration|customary sanctions|appeal to higher courts,"Colonial-era creation|rural justice|customary law",Accessible justice|local knowledge|culturally grounded,Colonial legacy|limited training|corruption concerns,Rural courts|customary law|local justice
Igisoro Games,Rwanda,East Africa,Strategic game teaching governance|symbolic decision-making|youth education,Elders teach youth|game principles|governance lessons,Game-based learning|strategic thinking|conflict simulation,"Traditional education|governance training|strategic thinking",Engaging pedagogy|transferable skills|cultural transmission,Limited direct application|game abstraction|access inequality,Youth civic education|leadership training|strategic thinking
Mgombeza Council,Tanzania (Makonde),East Africa,Carving councils|artistic authority|cultural preservation,Master carvers|artistic knowledge|cultural authority,Artistic standards|apprentice discipline|cultural disputes,"Makonde carving tradition|artistic governance|cultural preservation",Cultural expertise|artistic standards|tradition preservation,Artistic exclusivity|limited jurisdiction|cultural rigidity,Cultural governance|artistic guilds|tradition preservation
Bulozi Monarchy,Zambia,Southern Africa,King with royal council|Lozi customary law|hierarchical authority,Royal lineage|ancestral mandate|Lozi tradition,Royal courts|customary law|council deliberation,"Lozi kingdom|Barotseland|contemporary Zambia traditional authority",Historical legitimacy|cultural cohesion|ceremonial importance,Hereditary bias|limited representation|autonomy tensions,Traditional leadership|customary courts|cultural governance
Mbari Councils,Nigeria (Igbo),West Africa,Extended family compound|lineage-based authority|collective ownership,Lineage elders|compound authority|family unity,Internal mediation|lineage judgment|collective responsibility,"Igbo family compounds|land management|family disputes",Strong social cohesion|land security|family support,Patriarchal structure|limited mobility|family pressure,Family governance|land management|inheritance systems
