id,age_years,primary_language,scenario_type,description,reasoning_process,peer_dynamics,cultural_tension,outcome,emotional_growth,location,symbolic_logic,wisdom_gained,neural_embedding,recorded_at
mostlyf4-4cb6-45cd-a0dd-36b26e3a2da4,16,Yoruba,identity,description,cultural,adolescence,wisdom_growth,", ",integrity,scenario_typeat,", ",primary_logic,",cultural",2024-04-19 09:14:00
mostlye7-8e23-49a4-949a-4e56a0876240,18,Yoruba,social,,cultural,cultural,recorded_,primary_1er,creativity,Friends: ,outcome,emotional_language,: ,2025-06-28 12:05:00
mostly0f-507d-4ef8-bc73-cc19dbbd6578,13,Zulu,academic,",_type","reasoning anded; c forpar pc in fal.027, {",independence,neural_growth_,reasoning_logic,leadership,", ",", {",symbolic_gained,scenario_language,2024-06-10 09:42:00
mostly1c-8cca-439b-bdbb-54e2ea3acb5b,19,Oromo,ethical,peer_neural,description {,--0.,cultural,scenario_gained,empathy,scenario ,", ",peer,Myearse.,2024-03-13 12:28:00
mostly88-c31d-4035-9e75-ca86df89e607,18,Swahili,cultural,He lnye.,reasoning,cultural_,",_ ",age_language,independence,wisdom_{,: ,symbolic_type,}} {,2025-06-19 09:21:00
mostly22-a3b6-400a-b090-a7d2c2d1d739,16,Hausa,creative,independence,_logicat,C,wisdom ,scenarioer_gainedesa,creativity,If__logic,cultural_growth,}: ,neuralembedding,2025-06-02 03:38:00
mostly10-05b8-43a7-937d-2e4b36f55fa4,14,Hausa,ethical,", ",peer_process,Eage,description,,critical_thinking,He_process,reasoning ,emotional,", ",2024-07-10 20:41:00
mostlybe-3b4b-4e9d-bfec-41352f492158,13,Swahili,innovation,reasoning_typeyears,", ",,: ,2025_tension,integrity,_,peer_,emotionaloutcome,scenario,2024-06-22 22:02:00
mostly0a-6bd2-48e6-a05a-768519a44767,16,Yoruba,identity,}}} ,S,: ,The.,"recordedage, ",resilience,: ,"P, ",A ,2024,2025-02-25 09:53:00
mostly20-9c35-4622-b317-3c20fb198155,19,Oromo,cultural, {,primary,age_gained_language,recorded_at,", ",resilience,", ",leadership,age_dynamics,", ",2024-04-13 22:35:00
mostly64-243c-4fd1-a63d-bcb00516545f,16,Yoruba,social,",1T ",cultural: ,adolescence,R_growth,scenario_ ,empathy,-03,", ",emotional_embedding,}} .,2025-05-11 16:28:00
mostly41-781f-4472-98fe-37b5b3c3c5ad,14,Zulu,social,A,Friends ,"He, ",C_logic,cultural_type,integrity,age_dynamics,wisdom_embeddingtension,description,: ,2024-04-06 16:14:00
mostly31-f120-4d4d-8dd0-b59ce310945d,14,Hausa,entrepreneurial,age_language,C,"She;, ",C:00,", ",resilience,location,1.,peer_growth,outcome,2025-05-19 16:16:00
mostlyac-efd7-46f7-9936-20ee89e3dfa1,15,Zulu,cultural,D_growth,", ",wisdom_gained,reasoning_tension,reasoning_gained,integrity,description,outcome,peer_years,} ,2024-06-16 01:46:00
mostly53-2c90-4dac-8fda-eecfcbebce56,17,Hausa,entrepreneurial, _(,reasoning_growth,emotional_,descriptionlogic,scenario_,independence,adolescence,2024_growth.,recorded_embedding,emotional_-,2024-03-26 02:08:00
mostly49-72a7-4f31-abcd-ccf16337232a,18,Zulu,social,primary_type,2024,2024_embedding,primary_type,", ",creativity,_gained,scenario_at,", process",", ",2025-04-11 02:09:00
mostly39-88c4-412f-a3f8-64d0db1072eb,19,Swahili,cultural,reasoningprocess,H,", ",description,wisdom_tensionlanguage,critical_thinking,recorded_at,scenario ,", ",neuraltype,2024-03-02 16:29:00
mostlyc3-87be-4a78-b468-4ef9714040b3,17,Hausa,innovation,"scenario,-1.24","2025-00.0709,-,-1.799,-0.35",", {–",C,emotional_growth,critical_thinking,outcome,O_growth,Heorat to ,", ",2024-03-28 16:32:00
mostlyca-c884-4166-99ea-89f63195865b,18,Zulu,ethical,000ar.,P0.,"peer,_gained",St ,outcome,integrity,: ,descriptionlogic,"0.04,-1.52, ",age_process,2025-03-12 04:18:00
mostlyb2-e87d-4871-933a-9b62e9da0d3b,15,Zulu,ethical,peer_gained,adolescence,: ,peer,He,integrity,", ",-0.,Heoikattsen to inarts a.,2025_type,2025-04-28 22:58:00
mostlyce-da1c-47e2-8fcd-7c4dddd28918,16,Shona,creative,", ",wisdom_at,age_,reasoning_ ,", outcome8",creativity,He,S.,Aat: {,,2024-07-05 02:45:00
mostlyfd-d70b-4248-b159-ef6246057190,18,Amharic,identity,primary,outcome,In,}_Sat,neuraleinged c c.202-1.,independence,reasoning_process,peer_years,age_type,"P, ",2024-07-05 11:15:00
mostly52-af1a-4b8a-a186-b845d1ad3e90,18,Hausa,cultural,Sheoitse.,recorded__tension,scenario_type{,", ",symbolic_,integrity,peer_years,location.69,2024ingo-Teddess d centiiespch and.,}3 ,2025-06-20 19:59:00
mostly07-6827-46ef-99d8-fb53e77dbc02,14,Yoruba,entrepreneurial,H_embedding,E,outcomeembedding,neural_,emotional_,independence,neural,recorded,description,Some,2024-11-26 09:14:00
mostlyd5-e162-49c0-bc3e-bdcc93d49506,16,Oromo,creative,peer_dynamics,", ",-11.,peer_,Rar.,resilience,",growth",: ,reasoning_tension,locatione a m ,2025-06-12 15:05:00
mostlyef-21ad-424b-89f4-f0f43c2a14de,17,Hausa,academic,,recorded_growth,reasoningr:,", ",E0.,leadership,", ","P2,,",emotional,", ",2024-09-14 09:04:00
mostlyfc-226d-48cc-bdb9-4c80ab14ce04,19,Oromo,ethical,"C,",Pe theedeer  s fean.,peer_years,: ,", ",empathy,He ,neural,"emotional, ",", ",2025-02-07 10:41:00
mostlyd6-43fe-44bf-a009-40703cdefa4e,13,Oromo,social,M_embedding,H,Cr sc , ,", ",integrity,", ",A_y,location,scenario__type,2025-06-24 23:27:00
mostly31-f53e-4429-a543-caa7560a8b74,16,Hausa,cultural,emotional_-.,symbolic,: ,emotional0.5,cultural_growthyears,integrity,neural_–,emotional_logic,"0.8-06,0-T.01,0.",}: ,2025-09-30 21:39:00
mostly2d-2739-4adf-8c29-a72b096ff83b,16,Zulu,identity,symbolic_,scenario_at,adolescence,If,,leadership,H_,,", ",reasoning_-0.39,2024-08-03 22:52:00
mostlya1-e166-4336-b8c7-e3b00a79070f,14,Yoruba,social,,"-0.09515-0,0.",recorded_tension,symbolic_gained,M_years,integrity, _type,,"A, ",peer_years,2024-12-28 16:59:00
mostly32-014d-497b-a238-7303dc80f1a6,13,Swahili,academic,outcome,symbolic_gained,peer_logic,", ",recorded_},independence,", ",},primaryShe toit forit freerpeno a to m ,O: ,2025-09-30 21:39:00
mostlydd-f634-4900-afa7-f14fbb55e5c9,14,Igbo,creative,outcome,",-0, ",C,cultural_tension,wisdom_gained,creativity,2025_years,"reasoning_gained, ",symbolic a and_ d,symbolic_process,2024-09-18 21:34:00
mostly1e-fba8-4f59-9e37-c6b180e21bfc,14,Yoruba,social,A,"He, ",H_years,age_tension,Heee,leadership,P_at,Dtension,recorded_type,", ",2024-04-05 07:57:00
mostly5a-cc09-497b-b119-924b85024339,17,Igbo,identity,: ,outcome,wisdom_gained: ,S,He0.,critical_thinking,,: ,age__years,Oat,2024-09-19 13:23:00
mostlydb-afcb-40fe-8a7e-0d86fb5259a1,19,Amharic,ethical,emotional,peer ,wisdom1, ,M_type,integrity,"Aen-0.82363:,, ",wisdom_dynamics,S_{,location,2025-09-30 21:39:00
mostly7f-6a88-4e09-ac51-dd832a34d530,17,Zulu,ethical,_type: ,"-6s,",", ",peer_gained,"}}0.3300}0196,-",empathy,"A01ps,0.",age__:,adolescence_,scenario_type,2025-09-30 21:39:00
mostlyd2-f349-4c77-a024-9147951d9d75,16,Hausa,entrepreneurial,", ",Hee: ande.,So; ls,recorded_growth,1,creativity,primarylanguageers_gained: ,age_years,"adolescence-0,-0.481.903-5603,-0.391.6,--0.4,-T06.19,-0.13,0.-04,.}.4800}312",adolescence,2024-08-21 01:21:00
mostly4b-4ac7-4749-af9d-3b035fd195c3,19,Igbo,innovation,", ",} ,emotional ,outcome,cultural_at,empathy,outcome,_gained_ and,", ",: {,2024-10-06 15:11:00
mostly59-2c26-45fe-b726-c95cb998a542,16,Hausa,academic,primary,primary_years,1,", ",independence,integrity,2025_,adolescence,age_language,wisdom_type,2025-09-30 21:39:00
mostly60-3cc6-4f68-a289-555a241aa018,13,Igbo,cultural,description,}},reasoning_processgrowth,", ",: ,creativity,", ",_at,recorded,2024}-7.3 ,2024-10-25 09:28:00
mostlya3-8285-4ff5-90ec-bd85df4a42bf,16,Zulu,entrepreneurial,cultural_logic,primary,"age,_language",description,adolescence,independence,: ,wisdomcultural_:,neural,"Ht, logic",2024-05-23 18:37:00
mostlyaa-ce5e-49e1-a74c-df581f0e846f,19,Amharic,social,P_dynamicsembedding,age_typea} {,primary_gained,cultural_logic,Palnaningerary to schoolingeo ande ,critical_thinking,"}, ",A-08en. ,neural_process,symbolicyearst,2024-09-03 09:32:00
mostlyaf-c87d-4673-a23d-073327e267c8,15,Amharic,innovation,"She_languagerd fora,er","symbolic, ",", ",age_,location,independence,: {,: ,scenario,wisdom_logic,2024-02-21 13:58:00
mostlyfb-68ef-42f6-a1ee-6712ee29bf58,16,Yoruba,innovation,emotional_,":, ",cultural_growth,", ",If,leadership, ,outcome_embedding,neural_growth,outcome,2024-12-07 19:42:00
mostly62-d4ec-4a87-8489-2eddd10ba96f,18,Amharic,entrepreneurial,reasoning_typeer,",_dynamics", ,A--T,", 14",critical_thinking,location,: ,O,recorded-: {,2024-03-21 18:41:00
mostlye7-7f94-4395-aeed-d8cadba5e491,15,Yoruba,cultural,"-801.,-.0649622,-0.031,-11.,1.528-1.",}_gained,emotional_yearsprocess,: ,The ,resilience,independence,"age a, ",description a,2025 ,2024-07-13 21:01:00
mostlye1-b7f3-4b5e-8f37-d6b6047aba35,17,Hausa,identity,",scenario_type",primary_embedding,A,symbolic_type,S_,independence,,"wisdomCar d to,-.00",", ",,2024-03-25 13:57:00
mostly5a-ab08-4ac4-9779-31ef79988d18,17,Zulu,ethical,recorded_dynamics, ,",",,A in,empathy,outcome,", ",", ",age,2024-05-15 23:50:00
mostly8f-0a8d-40fa-8cba-2eb815e8ad2f,15,Oromo,ethical,"adolescenceingsy, ,",Her in matesingt w witht init a ced.,reasoning_,location,adolescence,integrity,}_growth–c.,: ,primary_gained,wisdom_process,2025-09-30 21:39:00
mostlya9-558d-4efc-a073-8dd8dc777c44,14,Oromo,identity,location,neural_,0ing--10.,Thegrowthal inesar sers forarcuese for.,primary-language: ,creativity,: ,}_dynamics,ethicaleesenerys.aren the;.,She and.,2024-04-20 22:42:00
mostly78-1897-4006-9c9a-6c97e1b6a994,18,Zulu,identity,adolescence002--05,", ",neural,E_years,recorded_type,creativity,{,She to,adolescence:growth: ,,2025-09-30 21:39:00
mostlya0-1ba3-4451-ac3d-27a1b62f420a,16,Zulu,entrepreneurial,: ,", ",}_embedding,A,: ,leadership,age_language,:_language,}00{language,2024_ ,2024-10-11 07:31:00
mostly17-2a19-42fc-bd5d-1f034e9ee650,17,Zulu,identity,C,reasoning_at_dynamics,scenario_logic,Hee.,emotional_type,resilience,,recorded_type,peer_dynamics,outcome_gained,2025-03-19 15:16:00
mostly1b-1303-4e84-a3e6-e7f41fe8f921,13,Zulu,entrepreneurial,recorded_language,primary,adolescence_tension,peer,: ,empathy,description in,Au p iny.,primary_gained,2025_gained,2025-09-30 21:39:00
mostly20-3ce7-40ef-b742-2f33176c7a0f,18,Swahili,creative,age ,"0.075,0-042.3,-01210.",} ,reasoning_language_years,neural_growth,creativity,independence,}_process,O,independence_,2025-03-27 12:03:00
mostly77-e92d-491e-aa4e-8ba0e9036d0a,13,Shona,innovation,A ,: ,"Aedates s, eden ande ",S_years,M {,leadership,", ",age,If,: ,2024-08-18 11:50:00
mostly5e-eb59-438c-be7e-82cbd40a6ae4,15,Zulu,cultural,recorded_process,: ,", ",cultural,"recorded, ",empathy,R: ,primary,"peer0.7, ",: ,2024-10-18 17:28:00
mostly1d-da5d-463d-93eb-0ce323e62f5e,15,Zulu,ethical,recorded_embedding,wisdom_,A,: ,description,integrity,If ,reasoning_years and s d,", ",outcome,2025-02-20 05:13:00
mostlyb5-dbcd-4cfd-89b2-31e2a001ab24,16,Hausa,creative,", ",: {{,", 14 ",peer_gaineddynamics,S_0.19,independence,M_gained,: ,D,recorded_logic,2024-03-29 16:45:00
mostlycf-3291-4e2d-b152-230a5e9de4b8,18,Igbo,social,recorded_logic,", ",Heing,reasoning,adolescence a fenoybiesed.,resilience,A.,symbolic_at,", ",M ,2025-01-01 20:10:00
mostlyb2-551f-4f4d-ae1c-e298faddb8e7,14,Zulu,ethical,"symbolic-0.3.00,1.",Cat,emotional,A{,peer_dynamics,integrity,outcome,outcome,{,C_years,2025-08-11 16:38:00
mostly76-9368-4b2d-9eb7-06e372b54aab,19,Hausa,social,", ",adolescence_type,She,: ,}age ,independence,emotional in,Hausa,recorded_growth,S ,2025-01-15 18:50:00
mostlyc9-00b4-47e1-929a-7f4956539f22,18,Shona,innovation,S ,description,ethical ,He_years,:_,leadership,The_gained,,", ",recorded_tension,2025-01-26 10:40:00
mostly6e-29a2-45f0-b4b0-3808727b89f7,16,Zulu,creative,ethical-,description,If;e cerals ses de toinging b de pbs-.,: ,cultural_at,creativity,}} {,primary_dynamics,emotional_type,recorded_at,2025-03-22 01:43:00
mostly15-173b-4515-8d53-1130579efae5,13,Oromo,innovation,primary,adolescence,"independence--0.69,0.",S,primary_logic,independence,_language,wisdom_scenario,", ",: ,2024-05-17 03:09:00
mostly97-65d1-4ce7-9e35-32f6d88605cd,18,Yoruba,innovation,"B0.3,-0.416,1.,--150.",", ",", ","Hausa_ar, ",peeraeerat,leadership,neural,wisdom{,_embedding,"scenario,-0.18.29124704,-0.050.43,0.,-0.478-0.030849,0.,}.9,_",2024-12-01 05:54:00
mostly46-be16-43f9-abb9-4d6d699c30d8,13,Swahili,academic,},age_years,,descriptionneaes.,"M-0.-0.0.1,1..14,:806248,0.040",creativity,cultural,primary_years,},He,2025-05-02 22:57:00
mostlyfa-d8cd-411b-b10b-b4bac543e531,19,Shona,ethical,B,2024logic_,", ",}Cers dt pingal s a a and in a hesfer;arl a c init lesaing oned m.,Cembedding a foreren.00a,independence,In,", ","M, ",cultural_at,2025-09-30 21:39:00
mostlyc1-8ee8-4d0a-9aa4-964f085efd41,17,Hausa,entrepreneurial,emotional__gained,primary_embedding,: ,", ",,leadership,_cultural ,"If- forT, ",", ",0,2024-06-24 12:35:00
mostlyff-e516-4f14-a2ed-f932f8a09ece,13,Zulu,academic,{,recorded_language,,"-0.37,0.",_tension,resilience,S,,2025_years,", ",2024-08-15 18:42:00
mostlyef-87be-4453-81a5-13992c8e856b,14,Yoruba,identity,",reasoning ",emotional_logic,scenario,{,"-0.4,-2,-0.",creativity,: ,Peing andee fts to.,", ",locationlanguage,2024-05-21 16:32:00
mostly19-04a0-4ba1-bbd4-bc35b9f5f90b,17,Zulu,ethical,Ife;n f m a c l b p.{,", ",: ,Friends:t c daedlg and toyery;t du; and thet thees.{,emotionalShelttp b.,integrity,wisdom.,"2025-0.0938,0.,, ",recordeddynamics_tension,wisdom,2024-02-19 07:32:00
mostly23-d047-40e8-83a4-8d7a7bf0fa99,18,Swahili,cultural,primary_typeer,"independence-0.8623,0;9,s0.-040..948",", {",", ",_type,critical_thinking,202403,_logic,wisdom_growth,2024,2024-04-11 21:56:00
mostlyce-758d-4c75-ac8b-b8b594887bde,14,Hausa,ethical,,scenario_process,", ",,outcome,empathy,description_at,: ,: ,: ,2025-05-15 16:18:00
mostly7f-e963-4c5a-b360-e46751672e86,18,Hausa,social,S,symbolic_gained,scenario_process,",",recorded,leadership,E,culturalagew,R_process,{,2025-01-24 20:34:00
mostlyc4-db52-43b4-a8de-89d2173dbdd6,17,Hausa,entrepreneurial,reasoning_tension}process,"symbolic_growth,tension",: language,neural_process,":growth1, ",independence,",-,0.",", ",Hees ding pitlororerse {,} ,2024-04-25 21:11:00
mostly66-7222-484e-8b0b-054cd933f15b,14,Amharic,entrepreneurial,,adolescenceageting in.,"-06, ","-0.-4,0T.8",reasoning_tension,independence,reasoning_embedding,"C1.8190,1}4,-0.00249,0.095603, a.,-,0.20.",2025} andcsts.12,descriptionAat and ,2024-03-21 11:16:00
mostly51-0d68-4d41-a275-3733c145ec88,16,Igbo,innovation,Hei,: ,recorded_gained,leadership,", ",independence,recordedembedding,"0.6,-: ",recorded_growth,E ,2025-09-30 21:39:00
